PartitionKey,RowKey,Timestamp,url,url@type,phrase,phrase@type,urlstill,urlstill@type
tasksSign,1106,2017-09-28T18:30:04.241Z,https://media1.giphy.com/media/3o7TKtv4ydOjHZd3lm/200.gif,Edm.String,Violin,Edm.String,https://media1.giphy.com/media/3o7TKtv4ydOjHZd3lm/200_s.gif,Edm.String
tasksSign,1107,2017-09-28T18:30:04.241Z,https://media2.giphy.com/media/3o7TKOTsIk4aPRy8mI/200.gif,Edm.String,,Edm.String,https://media2.giphy.com/media/3o7TKOTsIk4aPRy8mI/200_s.gif,Edm.String
tasksSign,1108,2017-09-28T18:30:04.241Z,https://media0.giphy.com/media/l0MYs1FJjTvqcqyDm/200.gif,Edm.String,Internet,Edm.String,https://media0.giphy.com/media/l0MYs1FJjTvqcqyDm/200_s.gif,Edm.String
tasksSign,1109,2017-09-28T18:30:04.241Z,https://media2.giphy.com/media/l3vR0j1jzOqDaPAnS/200.gif,Edm.String,Black Pepper,Edm.String,https://media2.giphy.com/media/l3vR0j1jzOqDaPAnS/200_s.gif,Edm.String
tasksSign,111,2017-09-28T18:30:01.946Z,https://media2.giphy.com/media/26FLcYV7fMydJpuj6/200.gif,Edm.String,Small Helicopter,Edm.String,https://media2.giphy.com/media/26FLcYV7fMydJpuj6/200_s.gif,Edm.String
tasksSign,1110,2017-09-28T18:30:04.241Z,https://media1.giphy.com/media/26FL0p9XxKszE8Q9y/200.gif,Edm.String,Shapes,Edm.String,https://media1.giphy.com/media/26FL0p9XxKszE8Q9y/200_s.gif,Edm.String
tasksSign,1111,2017-09-28T18:30:04.241Z,https://media1.giphy.com/media/3o7TKQZ2IuVHtTSOAw/200.gif,Edm.String,Pacifier,Edm.String,https://media1.giphy.com/media/3o7TKQZ2IuVHtTSOAw/200_s.gif,Edm.String
tasksSign,1112,2017-09-28T18:30:04.241Z,https://media2.giphy.com/media/l0HlEOdN6mliXZ64E/200.gif,Edm.String,,Edm.String,https://media2.giphy.com/media/l0HlEOdN6mliXZ64E/200_s.gif,Edm.String
tasksSign,1113,2017-09-28T18:30:04.241Z,https://media0.giphy.com/media/l3vR0xkdFEz4tnfTq/200.gif,Edm.String,Hungry,Edm.String,https://media0.giphy.com/media/l3vR0xkdFEz4tnfTq/200_s.gif,Edm.String
tasksSign,1114,2017-09-28T18:30:04.241Z,https://media1.giphy.com/media/3o7TKxGvMzRToD2XqE/200.gif,Edm.String,Crackers,Edm.String,https://media1.giphy.com/media/3o7TKxGvMzRToD2XqE/200_s.gif,Edm.String
